item_id,brand,department,group_stocks,name_stocks,full_price,discount_price,"""size""",quantity,size_range_type,"""style""",gender_id,gender,season_id,season,barcode,sku,store_barcode
22692974,12 STOREEZ,,,round-neck cotton T-shirt ,255.0,255.0,L,3,12 Storeez Women Clothing Standard,123919,249,,83844203,SS24,2022692974214,123919,2112391900000.0
22692965,12 STOREEZ,,,half-zip knitted jumper,725.0,725.0,XS,3,12 Storeez Women Clothing Standard,123893,249,,83844203,SS24,2022692965182,123893,2112389300041.0
22692965,12 STOREEZ,,,half-zip knitted jumper,725.0,725.0,S,3,12 Storeez Women Clothing Standard,123893,249,,83844203,SS24,2022692965199,123893,2112389300027.0
22692965,12 STOREEZ,,,half-zip knitted jumper,725.0,725.0,M,3,12 Storeez Women Clothing Standard,123893,249,,83844203,SS24,2022692965205,123893,2112389300010.0
22692965,12 STOREEZ,,,half-zip knitted jumper,725.0,725.0,L,3,12 Storeez Women Clothing Standard,123893,249,,83844203,SS24,2022692965212,123893,2112389300003.0
22693557,12 STOREEZ,,,flat leather loafers ,1055.0,1055.0,37,3,SHOES WOMEN'S IT,124327,249,,83844203,SS24,2022693557232,124327,4620209532544.0
22693557,12 STOREEZ,,,flat leather loafers ,1055.0,1055.0,38,3,SHOES WOMEN'S IT,124327,249,,83844203,SS24,2022693557256,124327,4620209532568.0
22692970,12 STOREEZ,,,crew-neck cotton T-shirt,255.0,255.0,M,3,12 Storeez Women Clothing Standard,123842,249,,83844203,SS24,2022692970209,123842,2112384200018.0
22692970,12 STOREEZ,,,crew-neck cotton T-shirt,255.0,255.0,L,3,12 Storeez Women Clothing Standard,123842,249,,83844203,SS24,2022692970216,123842,2112384200001.0
22692976,12 STOREEZ,,,zip-up cotton hoodie,725.0,725.0,XS,3,12 Storeez Women Clothing Standard,123825,249,,83844203,SS24,2022692976188,123825,2112382500042.0
22692976,12 STOREEZ,,,zip-up cotton hoodie,725.0,725.0,S,3,12 Storeez Women Clothing Standard,123825,249,,83844203,SS24,2022692976195,123825,2112382500028.0
22692972,12 STOREEZ,,,V-neck merino-silk cardigan,1099.0,1099.0,XS,3,12 Storeez Women Clothing Standard,124315,249,,83844203,SS24,2022692972180,124315,2112431500047.0
22692972,12 STOREEZ,,,V-neck merino-silk cardigan,1099.0,1099.0,S,3,12 Storeez Women Clothing Standard,124315,249,,83844203,SS24,2022692972197,124315,2112431500023.0
22693560,12 STOREEZ,,,crew-neck cotton T-shirt,255.0,255.0,S,3,12 Storeez Women Clothing Standard,123841,249,,83844203,SS24,2022693560195,123841,2112384100028.0
22693560,12 STOREEZ,,,crew-neck cotton T-shirt,255.0,255.0,M,3,12 Storeez Women Clothing Standard,123841,249,,83844203,SS24,2022693560201,123841,2112384100011.0
22693560,12 STOREEZ,,,crew-neck cotton T-shirt,255.0,255.0,L,3,12 Storeez Women Clothing Standard,123841,249,,83844203,SS24,2022693560218,123841,2112384100004.0
